,canonical_smiles
269,Cn1cc(Cl)c(/C=C2\C(=O)Nc3ccccc32)n1
270,CC(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1
271,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
272,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
273,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O
275,COc1c(Br)cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C
276,CSc1ccc(/C=C2\C(=O)Nc3ccccc32)s1
277,CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1
280,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1
281,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccc(Br)cc43)cc2)CC1
282,Cc1cc(C)c(/C=C2\C(=O)Nc3cccc(C)c32)[nH]1
283,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1
284,CCc1ccc(/C=C2\C(=O)Nc3ccccc32)s1
285,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1
287,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(N2CCOCC2)cc1
288,COc1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C
289,Cc1ccc2c(c1)/C(=C/c1[nH]c(C)cc1C)C(=O)N2
290,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc[nH]1
291,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1
292,COC(=O)CCc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
293,CN1C(=O)/C(=C\c2ccc(Br)cc2)c2ccccc21
294,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1
295,CCc1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
296,Cn1cccc1/C=C1\C(=O)Nc2ccccc21
297,CN(C)c1ccc(/C=C2\C(=O)Nc3cc(F)ccc32)cc1
298,O=C1Nc2ccccc2/C1=C/c1ccc(C(=O)O)cc1
299,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc[nH]1
300,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C
301,Cc1cc(C)c(/C=C2\C(=O)Nc3cc(F)ccc32)[nH]1
302,Cc1ccc(/C=C2/C(=O)Nc3ccccc32)o1
303,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
304,CN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCO
305,CN1CCC=C(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)C1
306,COCCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
307,CCN(CC)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
308,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
309,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
310,C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
311,CCN1CCN(CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1
312,O=C(C#CCO)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
313,COCC1CCCN1CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
314,O=C(/C=C/CN1CCSCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
315,O=C(/C=C/N1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
316,COC/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
317,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
318,CCCN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC
319,COCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
320,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
321,CC(C)N(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(C)C
322,O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
323,CCCN(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC
324,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
325,O=C(/C=C/CN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
326,CN(C)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
